Quel est l'objectif principal du Règlement (UE) 2016/679 (RGPD) ?;La protection des secrets commerciaux et industriels;La protection des personnes morales uniquement;La protection des personnes physiques à l'égard du traitement des données à caractère personnel;L'interdiction totale de tout traitement informatique;4;L'article 1 établit que le règlement protège les libertés et droits fondamentaux des personnes physiques et en particulier leur droit à la protection des données à caractère personnel.
Le RGPD s'applique-t-il aux traitements de données non automatisés ?;Non jamais;Oui s'ils sont contenus ou appelés à figurer dans un fichier;Uniquement s'ils concernent des données biométriques;Uniquement pour les administrations publiques;3;L'article 2 précise que le règlement s'applique au traitement non automatisé de données contenues ou appelées à figurer dans un fichier.
Selon l'article 3 une entreprise non établie dans l'UE doit-elle respecter le RGPD ?;Non car elle n'a pas de siège en Europe;Oui si ses activités sont liées à l'offre de biens ou de services à des personnes dans l'UE;Uniquement si elle possède des serveurs en France;Non sauf accord bilatéral spécifique;3;Le règlement s'applique aux responsables non établis dans l'UE si le traitement est lié à l'offre de biens ou services à des personnes concernées dans l'Union.
Comment l'article 4 définit-il une "donnée à caractère personnel" ?;Toute information se rapportant à une personne physique identifiée ou identifiable;Uniquement le nom et le prénom;Toute donnée chiffrée stockée sur un serveur;Les informations relatives aux entreprises et personnes morales;2;Est considérée comme donnée personnelle toute information se rapportant à une personne physique identifiée ou identifiable directement ou indirectement.
Qu'est-ce que la "pseudonymisation" selon le RGPD ?;L'effacement définitif des données;Le traitement rendant les données inattribuables à une personne sans informations supplémentaires conservées séparément;Le chiffrement total rendant les données illisibles;La publication des données en libre accès;3;La pseudonymisation empêche l'attribution des données à une personne précise sans recours à des informations supplémentaires conservées séparément.
En quoi consiste le principe de "minimisation des données" (Article 5) ?;Collecter le plus de données possible au cas où;Ne collecter aucune donnée sensible;Les données doivent être adéquates pertinentes et limitées à ce qui est nécessaire;Les données doivent être conservées indéfiniment;4;Le principe exige que les données soient adéquates, pertinentes et limitées à ce qui est nécessaire au regard des finalités pour lesquelles elles sont traitées.
Quelle base juridique N'EST PAS mentionnée à l'article 6 pour la licéité du traitement ?;Le consentement de la personne concernée;L'intérêt purement économique du responsable du traitement pour maximiser ses profits;L'exécution d'un contrat;Le respect d'une obligation légale;3;L'intérêt purement économique n'est pas une base légale, contrairement au consentement, au contrat, à l'obligation légale ou à l'intérêt légitime (sous conditions).
Quelle condition s'applique au retrait du consentement selon l'article 7 ?;Il est impossible de retirer son consentement une fois donné;Le retrait doit être motivé par écrit;Il doit être aussi simple de retirer que de donner son consentement;Le retrait nécessite l'intervention d'un avocat;4;Le règlement stipule que la personne concernée a le droit de retirer son consentement à tout moment et que cela doit être aussi simple que de le donner.
Quel est l'âge seuil par défaut fixé par l'article 8 pour le consentement d'un enfant aux services numériques ?;13 ans;14 ans;16 ans;18 ans;4;L'âge par défaut est de 16 ans, bien que les États membres puissent l'abaisser jusqu'à 13 ans par la loi.
Quel est le principe par défaut concernant le traitement des données sensibles (santé, biométrie...) à l'article 9 ?;L'autorisation par défaut;L'interdiction de traitement sauf exceptions spécifiques;La simple déclaration à l'autorité;L'autorisation si les données sont pseudonymisées;3;Le traitement de catégories particulières de données est interdit par principe, sauf si une exception (comme le consentement explicite ou l'intérêt vital) s'applique.
