Quel est l'objectif principal du Référentiel Général de Sécurité (RGS) ?,Renforcer la confiance des usagers dans les services électroniques proposés par les autorités administratives.
À quels types d'échanges le RGS s'applique-t-il ?,"Aux échanges électroniques entre les usagers et les autorités administratives, et entre les autorités administratives elles-mêmes."
Quelle est la première étape de la démarche de mise en conformité avec le RGS ?,La réalisation d'une analyse des risques.
Quelles sont les cinq étapes de la démarche de mise en conformité avec le RGS prévue par le décret du 2 février 2010 ?,"1. Analyse des risques, 2. Définition des objectifs de sécurité, 3. Choix et mise en œuvre des mesures, 4. Homologation de sécurité, 5. Suivi opérationnel."
Quelle méthode est recommandée par le RGS pour faciliter la mise en œuvre pratique de l'analyse de risques ?,La méthode EBIOS (Expression des besoins et identification des objectifs de sécurité).
"En plus de la disponibilité, l'intégrité et la confidentialité, quels sont les deux domaines complémentaires des objectifs de sécurité ?",L'authentification et la traçabilité.
Les mesures de sécurité choisies après l'analyse de risques peuvent être de deux natures. Lesquelles ?,"Technique (produits, prestations) et organisationnelle (responsabilités, formation)."
Définition : Homologation de sécurité,Une décision prononcée par une autorité d'homologation qui atteste que le système d'information est protégé conformément aux objectifs fixés et que les risques résiduels sont acceptés.
Avant quelle étape un système d'information entrant dans le champ de l'ordonnance du 8 décembre 2005 doit-il faire l'objet d'une homologation de sécurité ?,Avant sa mise en service opérationnelle.
"Le suivi opérationnel de la sécurité d'un SI consiste à collecter et analyser les journaux d'événements, mener des audits, gérer les droits d'accès et assurer une _____ sur les menaces et vulnérabilités.",veille
"Pour les mécanismes cryptographiques, quelles annexes du RGS les autorités administratives doivent-elles respecter ?","Les annexes [RGS_B1], [RGS_B2] et, pour l'authentification, [RGS_B3]."
"Sur quel élément reposent les fonctions de sécurité d'authentification, de signature et de confidentialité selon le RGS ?",Sur l'emploi de certificats électroniques.
Sur quel élément repose la fonction de sécurité d'horodatage électronique selon le RGS ?,Sur l'emploi de contremarques de temps.
"Combien de niveaux de sécurité le RGS définit-il pour les fonctions d'authentification, de signature et de confidentialité ?","Trois niveaux, désignés par (*), (**) et (***)."
"Qu'est-ce qu'un certificat électronique ""à double usage"" selon le RGS ?","Un certificat unique pour les fonctions d'authentification de personne physique et de signature électronique, prévu uniquement aux niveaux (*) et (**)."
"Quelle fonction de sécurité est, pour une machine, l'équivalent de la fonction de signature pour une personne ?","La fonction de ""cachet""."
