"Selon l'article 8 de la Charte des droits fondamentaux de l'UE, quel est le statut de la protection des données à caractère personnel ?",C'est un droit fondamental.
Quel est l'objectif principal du Règlement (UE) 2016/679 (RGPD) ?,"Protéger les libertés et droits fondamentaux des personnes physiques, en particulier leur droit à la protection des données à caractère personnel."
Le droit à la protection des données à caractère personnel est-il un droit absolu selon le RGPD ?,"Non, il doit être mis en balance avec d'autres droits fondamentaux, conformément au principe de proportionnalité."
Le RGPD s'applique-t-il au traitement des données des personnes morales ?,"Non, il ne couvre pas le traitement des données des personnes morales, telles que les entreprises."
Quelle est l'exception principale au champ d'application du RGPD mentionnée dans le considérant 16 ?,"Les activités qui ne relèvent pas du champ d'application du droit de l'Union, telles que celles relatives à la sécurité nationale."
Les données à caractère personnel qui ont fait l'objet d'une _____ sont considérées comme des informations concernant une personne physique identifiable.,pseudonymisation
Comment le RGPD définit-il le 'consentement' ?,"Par un acte positif clair (déclaration écrite, orale, case à cocher) par lequel la personne concernée manifeste de façon libre, spécifique, éclairée et univoque son accord."
"Le silence, les cases cochées par défaut ou l'inactivité peuvent-ils constituer un consentement valide au sens du RGPD ?","Non, en aucun cas."
"Quels sont les trois principes fondamentaux du traitement des données énoncés à l'article 5, paragraphe 1, point a) ?","Licéité, loyauté et transparence."
"Le principe de _____ stipule que les données doivent être collectées pour des finalités déterminées, explicites et légitimes.",limitation des finalités
Que signifie le principe de 'minimisation des données' selon l'article 5 du RGPD ?,"Les données doivent être adéquates, pertinentes et limitées à ce qui est nécessaire au regard des finalités pour lesquelles elles sont traitées."
Le principe de _____ exige que les données à caractère personnel soient conservées sous une forme permettant l'identification des personnes concernées pendant une durée n'excédant pas celle nécessaire.,limitation de la conservation
Quelle est la définition de 'données à caractère personnel' selon l'article 4 du RGPD ?,Toute information se rapportant à une personne physique identifiée ou identifiable.
Terme RGPD : Traitement,"Définition : Toute opération appliquée à des données à caractère personnel, telle que la collecte, l'enregistrement, l'utilisation, la diffusion ou l'effacement."
Qui est le 'responsable du traitement' selon le RGPD ?,"La personne physique ou morale, l'autorité publique, ou un autre organisme qui, seul ou conjointement, détermine les finalités et les moyens du traitement."
Qui est le 'sous-traitant' selon le RGPD ?,"La personne physique ou morale, l'autorité publique, ou un autre organisme qui traite des données à caractère personnel pour le compte du responsable du traitement."
Citez l'une des six bases juridiques qui rendent un traitement de données licite selon l'article 6 du RGPD.,"Le consentement de la personne concernée, la nécessité pour l'exécution d'un contrat, le respect d'une obligation légale, la sauvegarde des intérêts vitaux, l'exécution d'une mission d'intérêt public, ou les intérêts légitimes du responsable du traitement."
Dans quel cas le traitement de catégories particulières de données (données sensibles) est-il autorisé selon l'article 9 ?,"Lorsque la personne concernée a donné son consentement explicite, ou pour d'autres raisons spécifiques comme la sauvegarde des intérêts vitaux ou des motifs d'intérêt public important."
Quelles informations le responsable du traitement doit-il fournir à la personne concernée lorsque les données sont collectées directement auprès d'elle (Article 13) ?,"L'identité du responsable, les finalités du traitement, la base juridique, les destinataires, et l'existence de ses droits."
Quel droit permet à une personne concernée d'obtenir la confirmation que des données la concernant sont traitées et d'y avoir accès ?,Le droit d'accès (Article 15).
En quoi consiste le 'droit à l'oubli' ou droit à l'effacement prévu à l'article 17 du RGPD ?,"Le droit d'obtenir l'effacement de ses données à caractère personnel lorsque celles-ci ne sont plus nécessaires, que le consentement est retiré, ou qu'elles ont fait l'objet d'un traitement illicite."
Le droit à l'effacement (article 17) est-il absolu ?,"Non, il ne s'applique pas si le traitement est nécessaire, par exemple, à l'exercice du droit à la liberté d'expression ou pour respecter une obligation légale."
Que permet le droit à la portabilité des données (Article 20) ?,Il permet à la personne concernée de recevoir les données qu'elle a fournies dans un format structuré et de les transmettre à un autre responsable du traitement.
Dans quelles conditions s'applique le droit à la portabilité des données ?,"Le traitement doit être fondé sur le consentement ou sur un contrat, et être effectué à l'aide de procédés automatisés."
Quel droit une personne concernée peut-elle exercer lorsque ses données sont traitées à des fins de prospection (marketing direct) ?,Le droit de s'opposer à tout moment et sans frais à ce traitement (Article 21).
Quel est le droit de la personne concernée face à une décision fondée exclusivement sur un traitement automatisé (y compris le profilage) produisant des effets juridiques ?,"Le droit de ne pas faire l'objet d'une telle décision (Article 22), sauf exceptions."
Le principe de _____ exige que le responsable du traitement mette en œuvre des mesures techniques et organisationnelles appropriées dès la conception du traitement pour garantir la protection des données.,protection des données dès la conception (data protection by design)
Que garantit le principe de 'protection des données par défaut' (Article 25) ?,"Il garantit que, par défaut, seules les données nécessaires pour chaque finalité spécifique sont traitées et ne sont pas rendues accessibles à un nombre indéterminé de personnes."
Quand deux responsables du traitement sont-ils considérés comme 'responsables conjoints' selon l'article 26 ?,Lorsqu'ils déterminent conjointement les finalités et les moyens du traitement.
